INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,NYS Municipal Boundaries,New York Zip Codes,Location,Counties
NY-2013-WS-299,4,Search,1/2/2014,12:25 PM,1,M,74,NY,US,Hiking,Overdue,42.44824,-74.9284,1223,TRUE,Vehicle/boat evacuation,1,TRUE,Other Municipal Land,None,DELAWARE,DAVENPORT,FALSE,FALSE,1/2/2014,3:00 AM,570,447,POINT (-74.9284 42.44824),2039
NY-2013-WS-298,5,Rescue,1/1/2014,3:33 AM,1,M,32,NY,US,Hiking,Illness,44.34972,-73.92482,2328,FALSE,Vehicle/boat evacuation,2,FALSE,Forest Preserve,McKenzie Mt Wilderness,ESSEX,WILMINGTON,TRUE,FALSE,1/1/2014,6:30 AM,417,340,POINT (-73.92482 44.34972),2084
NY-2013-WS-297,3,Search,12/30/2013,9:45 AM,1,F,42,NY,US,Despondent,Missing,41.6197,-74.34796,495,TRUE,Carry out by foot,2,TRUE,Private Land,Private,ULSTER,SHAWANGUNK,FALSE,FALSE,12/31/2013,1:30 AM,409,1001,POINT (-74.34796 41.6197),2182
NY-2013-WS-296,5,Rescue,12/30/2013,2:41 AM,1,M,68,NY,US,Climbing:Rock/Ice,Injured,44.14369,-73.7572,1473,FALSE,Carry out by foot,9,TRUE,Forest Preserve,Dix Mountain Wilderness,ESSEX,KEENE,TRUE,FALSE,12/30/2013,5:45 AM,442,272,POINT (-73.7572 44.14369),2084
NY-2013-WS-295,8,Search,12/26/2013,11:00 AM,1,M,89,NY,US,Walking,Illness,43.25302,-77.62337,292,TRUE,Carry out by foot,5,TRUE,Private Land,N/A,MONROE,GREECE,FALSE,FALSE,12/27/2013,8:20 AM,548,1670,POINT (-77.62337 43.25302),2093
NY-2013-WS-293,5,Search,12/25/2013,10:05 AM,1,M,52,NY,US,Hiking,Overdue,44.18906,-73.82129,1640,TRUE,Assist/own power,3,FALSE,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,12/26/2013,12:45 PM,442,272,POINT (-73.82129 44.18906),2084
NY-2013-WS-293,5,Search,12/25/2013,10:05 AM,2,M,21,NY,US,Hiking,Overdue,44.18906,-73.82129,1640,TRUE,Assist/own power,3,FALSE,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,TRUE,FALSE,12/26/2013,12:45 PM,442,272,POINT (-73.82129 44.18906),2084
NY-2013-WS-292,5,Search,12/25/2013,4:05 AM,3,F,38,NZ,NZ,Hiking,Lost,43.79227,-74.29371,1660,TRUE,Assist/own power,1,FALSE,Forest Preserve,Blue Mt Wild Forest,HAMILTON,INDIAN LAKE,TRUE,FALSE,12/25/2013,6:00 AM,867,103,POINT (-74.29371 43.79227),622
NY-2013-WS-292,5,Search,12/25/2013,4:05 AM,2,M,35,NZ,NZ,Hiking,Lost,43.79227,-74.29371,1660,TRUE,Assist/own power,1,FALSE,Forest Preserve,Blue Mt Wild Forest,HAMILTON,INDIAN LAKE,TRUE,FALSE,12/25/2013,6:00 AM,867,103,POINT (-74.29371 43.79227),622
NY-2013-WS-292,5,Search,12/25/2013,4:05 AM,1,M,61,NJ,US,Hiking,Lost,43.79227,-74.29371,1660,TRUE,Assist/own power,1,FALSE,Forest Preserve,Blue Mt Wild Forest,HAMILTON,INDIAN LAKE,TRUE,FALSE,12/25/2013,6:00 AM,867,103,POINT (-74.29371 43.79227),622
NY-2013-WS-292,5,Search,12/25/2013,4:05 AM,4,M,36,NZ,NZ,Hiking,Lost,43.79227,-74.29371,1660,TRUE,Assist/own power,1,FALSE,Forest Preserve,Blue Mt Wild Forest,HAMILTON,INDIAN LAKE,TRUE,FALSE,12/25/2013,6:00 AM,867,103,POINT (-74.29371 43.79227),622
NY-2013-WS-291,5,Search,12/23/2013,11:58 AM,2,M,30,NY,US,Hiking,Stranded,44.06639,-73.99313,2069,FALSE,Assist/own power,2,TRUE,Conservation Easement,High Peaks Wilderness,ESSEX,NEWCOMB,TRUE,FALSE,12/24/2013,5:30 AM,438,,POINT (-73.99313 44.06639),2084
NY-2013-WS-291,5,Search,12/23/2013,11:58 AM,1,M,41,NY,US,Hiking,Overdue,44.06639,-73.99313,2069,TRUE,Assist/own power,2,TRUE,Conservation Easement,High Peaks Wilderness,ESSEX,NEWCOMB,TRUE,FALSE,12/24/2013,5:30 AM,438,,POINT (-73.99313 44.06639),2084
NY-2013-WS-291,5,Search,12/23/2013,11:58 AM,6,M,46,NY,US,Hiking,Stranded,44.06639,-73.99313,2069,TRUE,Assist/own power,2,TRUE,Conservation Easement,High Peaks Wilderness,ESSEX,NEWCOMB,TRUE,FALSE,12/24/2013,5:30 AM,438,,POINT (-73.99313 44.06639),2084
NY-2013-WS-291,5,Search,12/23/2013,11:58 AM,4,M,28,NY,US,Hiking,Stranded,44.06639,-73.99313,2069,FALSE,Assist/own power,2,TRUE,Conservation Easement,High Peaks Wilderness,ESSEX,NEWCOMB,TRUE,FALSE,12/24/2013,5:30 AM,438,,POINT (-73.99313 44.06639),2084
NY-2013-WS-291,5,Search,12/23/2013,11:58 AM,3,M,55,NY,US,Hiking,Stranded,44.06639,-73.99313,2069,TRUE,Assist/own power,2,TRUE,Conservation Easement,High Peaks Wilderness,ESSEX,NEWCOMB,TRUE,FALSE,12/24/2013,5:30 AM,438,,POINT (-73.99313 44.06639),2084
NY-2013-WS-291,5,Search,12/23/2013,11:58 AM,5,M,52,NY,US,Hiking,Stranded,44.06639,-73.99313,2069,TRUE,Assist/own power,2,TRUE,Conservation Easement,High Peaks Wilderness,ESSEX,NEWCOMB,TRUE,FALSE,12/24/2013,5:30 AM,438,,POINT (-73.99313 44.06639),2084
NY-2013-WS-290,9,Rescue,12/23/2013,7:37 AM,1,M,55,NY,US,Walking,Injured,42.96154,-78.60918,733,TRUE,Carry out by foot,2,TRUE,Wildlife Management Area,Tillman Wildlife Management Area,ERIE,CLARENCE,FALSE,FALSE,12/24/2013,1:00 AM,297,495,POINT (-78.60918 42.96154),2041
NY-2013-WS-289,7,Rescue,12/19/2013,4:30 AM,1,M,57,NY,US,Skiing,Overdue,42.88529,-75.7164,1540,TRUE,Carry out by foot,2,TRUE,State Forests,Stony Pond State Forest,MADISON,NELSON,FALSE,FALSE,12/19/2013,6:30 AM,123,1270,POINT (-75.7164 42.88529),2092
NY-2013-WS-288,7,Search,12/13/2013,8:38 AM,1,M,57,NY,US,Despondent,Missing,42.16557,-75.88002,840,TRUE,Airboat,8,TRUE,Private Land,Not applicable,CHENANGO,GREENE,FALSE,FALSE,5/4/2014,1:00 AM,945,475,POINT (-75.88002 42.16557000000001),2033
NY-2013-WS-287,5,Search,12/11/2013,5:25 AM,2,M,13,NY,US,Hunting,Lost,44.61222,-73.86572,1420,TRUE,Assist/own power,2,TRUE,Private Land,Private,CLINTON,SARANAC,TRUE,FALSE,12/11/2013,9:50 AM,2,302,POINT (-73.86572 44.61222000000001),2038
NY-2013-WS-287,5,Search,12/11/2013,5:25 AM,1,M,79,NY,US,Hunting,Lost,44.61222,-73.86572,1420,TRUE,Assist/own power,2,TRUE,Private Land,Private,CLINTON,SARANAC,TRUE,FALSE,12/11/2013,9:50 AM,2,302,POINT (-73.86572 44.61222000000001),2038
NY-2013-WS-286,5,Rescue,12/9/2013,1:56 AM,1,M,64,NY,US,Off road vehicle/ATV,Injured,43.54425,-73.72178,1100,FALSE,Vehicle/boat evacuation,3,TRUE,Private Land,Private Land,WARREN,BOLTON,TRUE,FALSE,12/9/2013,4:27 AM,826,801,POINT (-73.72178 43.54425),2183
NY-2013-WS-285,6,Search,12/6/2013,4:30 AM,1,F,12,NY,US,Walking,Lost,43.30484,-75.61986,585,TRUE,Assist/own power,1,TRUE,Private Land,N/A,ONEIDA,ANNSVILLE,FALSE,FALSE,12/6/2013,6:00 AM,935,1379,POINT (-75.61986 43.30484),625
